"","Indique.le.sport.principal.que.tu.pratiques","Catégories.sport"
"534","natation","sport individuel"
"535","Natation course","sport individuel"
"537","natation sportive","sport individuel"
"538","Natation","sport individuel"
"553","Natation et équitation en France","sport individuel"
"573","Natation Artistique","sport artistique"
"574","Natation synchronisée (artistique)","sport artistique"
"575","Natation artistique ( synchronisée)","sport artistique"
"576","Natation synchronisée","sport artistique"
"578","Natation artistique","sport artistique"
"581","Je pratique le Parkour/Freerun/escalade urbaine","autres"
"582","Parkour","autres"
"583","Danse sur glace","sport artistique"
"584","Fédéral en patinage artistique","sport artistique"
"585","Patinage artistique","sport artistique"
"590","Patinage de vitesse","athletisme/sport endurance"
"591","Short Track","athletisme/sport endurance"
"592","Plongeon","sport artistique"
"593","plongeon","sport artistique"
"594","Pole dance","sport artistique"
"595","Roller Freestyle","autres"
"596","rugby","sport d'equipe"
"597","Rugby","sport d'equipe"
"611","Rugby XV","sport d'equipe"
"625","Sanda (sport de combat)","sport de combat"
"626","ski","sport individuel"
"629","Ski","sport individuel"
"630","ski alpin","sport individuel"
"632","Ski Alpin","sport individuel"
"635","Ski alpin","sport individuel"
"637","Ski, musculation","sport individuel"
"638","Ski alpinisme","sport individuel"
"640","Sport d’endurance et ski alpin","sport individuel"
"641","le ski alpin","sport individuel"
"644","ski-alpinisme","sport individuel"
"645","Télémark","sport individuel"
"646","ski-alpinisme et trail","sport individuel"
"647","SKI","sport individuel"
"648","ski alpinisme","sport individuel"
"649","Ski-Alpinisme","sport individuel"
"650","Ski de fond","athletisme/sport endurance"
"652","Ski Freeride","autres"
"653","Ski freeride","autres"
"654","Sport de balle peu connu","sport d'equipe"
"655","Sumo","sport de combat"
"656","taekwondo","sport de combat"
"659","Taekwondo","sport de combat"
"662","Tchoukball","sport d'equipe"
"665","tennis","sport individuel"
"666","Tennis","sport individuel"
"675","je pratique principalement le tennis, mais la musculation actuellement","sport individuel"
"684","Tennis, ski","sport individuel"
"685","Tennis de table","sport individuel"
"691","Ping Pong","sport individuel"
"694","Tir à l’arc","autres"
"695","Tir à l'arc","autres"
"696","tir à l'arc","autres"
"698","Trail","athletisme/sport endurance"
"699","Trampoline","sport artistique"
"700","triathlon","athletisme/sport endurance"
"703","Triathlon","athletisme/sport endurance"
"712","Twirling baton","sport artistique"
"713","Le twirling bâton","sport artistique"
"714","Twirling","sport artistique"
"715","Ultimate","sport d'equipe"
"716","Unihockey","sport d'equipe"
"721","Voile","autres"
"723","Voile (catamaran)","autres"
"724","voile","autres"
"725","Voile (ILCA7)","autres"
"726","Voile:  49er","autres"
"727","Volley ball","sport d'equipe"
"728","Volley- ball","sport d'equipe"
"729","Volley-ball","sport d'equipe"
"730","volley ball","sport d'equipe"
"731","volley ball / danse","sport d'equipe"
"732","volleyball","sport d'equipe"
"733","volley","sport d'equipe"
"738","Volley","sport d'equipe"
"740","Volleyball","sport d'equipe"
"774","VTT Enduro","athletisme/sport endurance"
"775","VTT","athletisme/sport endurance"
"776","le wakeboard en international mais il y a 9 ans 
actuellement que du sport pour moi","autres"
"777","Waterpolo","sport d'equipe"
